DEB [20180520-05:15:57.907] thr=1   paramiko.transport: starting thread (client mode): 0x2b66ec90L
DEB [20180520-05:15:57.908] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.1
DEB [20180520-05:15:57.913] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_5.9p1 Debian-5ubuntu1.10
INF [20180520-05:15:57.913] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_5.9p1)
DEB [20180520-05:15:57.914] thr=1   paramiko.transport: kex algos:[u'ecdh-sha2-nistp256', u'ecdh-sha2-nistp384', u'ecdh-sha2-nistp521', u'diffie-hellman-group-exchange-sha256', u'diffie-hellman-group-exchange-sha1', u'diffie-hellman-group14-sha1', u'diffie-hellman-group1-sha1'] server key:[u'ssh-rsa', u'ssh-dss', u'ecdsa-sha2-nistp256'] client encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] server encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] client mac:[u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'hmac-sha2-256', u'hmac-sha2-256-96', u'hmac-sha2-512', u'hmac-sha2-512-96', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] server mac:[u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'hmac-sha2-256', u'hmac-sha2-256-96', u'hmac-sha2-512', u'hmac-sha2-512-96', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] client compress:[u'none', u'zlib@openssh.com'] server compress:[u'none', u'zlib@openssh.com'] client lang:[u''] server lang:[u''] kex follows?False
DEB [20180520-05:15:57.914] thr=1   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20180520-05:15:57.914] thr=1   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20180520-05:15:57.914] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20180520-05:15:57.914] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20180520-05:15:57.915] thr=1   paramiko.transport: Compression agreed: none
DEB [20180520-05:15:57.980] thr=1   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
